MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60,RL,18.82410884963751,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.9924581716553322,2.5802760203337385e+51,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,19.589649034565866,Gd,TA,PConc,Gd,TA,No,GLQ,158.6220865554046,Unf,0.0,29.971062634252096,856.0,GasA,Ex,Y,SBrkr,6.782008403546354,1026.3915486254311,0.0,9.02298001621465,0.993262988983687,0.0,2,1.0685785456566268,3,0.7509550520293038,Gd,2.31578940582546,Typ,0.0,None,Attchd,8.261675221337722e+56,RFn,2.0,548.0,TA,TA,Y,0.0,12.172165601031342,0.0,0.0,0.0,0.0,0.0,2,2008,WD,Normal
20,RL,21.495515593319897,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,6.001835562780168,2.078717230696779e+51,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,201.1682920789099,Unf,0.0,44.10133397423868,1262.0,GasA,Ex,Y,SBrkr,7.173196229285571,0.0,0.0,8.58550912446665,0.0,0.7097229221358835,2,0.0,3,0.7509550520293038,TA,2.0385288463122158,Typ,0.9032993982514254,TA,Attchd,6.505748486787838e+56,RFn,2.0,460.0,TA,TA,Y,56.38883644873135,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,WD,Normal
60,RL,19.37646880553595,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.9924581716553322,2.5395471259207665e+51,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,17.905667846126793,Gd,TA,PConc,Gd,TA,Mn,GLQ,120.75856805884811,Unf,0.0,56.84851419200089,920.0,GasA,Ex,Y,SBrkr,6.854644027659409,1041.2731484399958,0.0,9.086152419376242,0.993262988983687,0.0,2,1.0685785456566268,3,0.7509550520293038,Gd,2.0385288463122158,Typ,0.9032993982514254,TA,Attchd,8.117634166259818e+56,RFn,2.0,608.0,TA,TA,Y,0.0,9.968407216348508,0.0,0.0,0.0,0.0,0.0,9,2008,WD,Normal
70,RL,17.880542565226317,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,3.9924581716553322,1.26156219364932e+51,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,66.62473561211826,Unf,0.0,64.75173088719924,756.0,GasA,Gd,Y,SBrkr,6.898572623270506,905.1159759091555,0.0,9.02890883267743,0.993262988983687,0.0,1,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.9032993982514254,Gd,Detchd,7.906006931580624e+56,Unf,3.0,642.0,TA,TA,Y,0.0,9.023656128805996,16.02506152545232,0.0,0.0,0.0,0.0,2,2006,WD,Abnorml
60,RL,22.17330972751558,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,3.9924581716553322,2.51940938229464e+51,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,25.636506847233665,Gd,TA,PConc,Gd,TA,Av,GLQ,150.17542865255496,Unf,0.0,61.11348405056579,1145.0,GasA,Ex,Y,SBrkr,7.0751187776454065,1273.9758313265143,0.0,9.389618608825996,0.993262988983687,0.0,2,1.0685785456566268,4,0.7509550520293038,Gd,2.433014249065653,Typ,0.9032993982514254,TA,Attchd,8.046505114949444e+56,RFn,3.0,836.0,TA,TA,Y,42.385097551884705,14.390223680964212,0.0,0.0,0.0,0.0,0.0,12,2008,WD,Normal
50,RL,22.340741470418788,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,3.9924581716553322,2.382580120219422e+51,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,162.8632297395259,Unf,0.0,17.708616472308012,796.0,GasA,Ex,Y,SBrkr,6.70881348943559,671.4794372646239,0.0,8.694686417800863,0.993262988983687,0.0,1,1.0685785456566268,1,0.7509550520293038,TA,1.8700913302730977,Typ,0.0,None,Attchd,7.564816576870671e+56,Unf,2.0,480.0,TA,TA,Y,14.944219556847887,8.285665756095147,0.0,7.115554904674963,0.0,0.0,7.26635042319123,10,2009,WD,Normal
20,RL,20.62905025242999,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,3.9924581716553322,2.6008692837419268e+51,2005,Gable,CompShg,VinylSd,VinylSd,Stone,19.113126800965414,Gd,TA,PConc,Ex,TA,Av,GLQ,256.9919034869424,Unf,0.0,47.11003296104932,1686.0,GasA,Ex,Y,SBrkr,7.470080137400384,0.0,0.0,9.009341448102129,0.993262988983687,0.0,2,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.9032993982514254,Gd,Attchd,8.334596539782245e+56,RFn,2.0,636.0,TA,TA,Y,50.97348231631446,11.742721197470193,0.0,0.0,0.0,0.0,0.0,8,2007,WD,Normal
60,RL,21.754228002088695,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,4.680717059976833,2.0290198508224804e+51,1973,Gable,CompShg,HdBoard,HdBoard,Stone,21.535355591182103,TA,TA,CBlock,Gd,TA,Mn,ALQ,183.01813981755285,BLQ,4.749747972426771,37.39561570843546,1107.0,GasA,Ex,Y,SBrkr,7.041100399877612,1186.6999779028154,0.0,9.315664575656225,0.993262988983687,0.0,2,1.0685785456566268,3,0.7509550520293038,TA,2.185434739020803,Typ,1.6881471699168629,TA,Attchd,6.334025432013119e+56,RFn,2.0,484.0,TA,TA,Y,48.34136019842538,22.561164220974998,14.962127897846823,0.0,0.0,0.0,6.427664912576049,11,2009,WD,Normal
50,RM,16.09972409113881,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,3.9924581716553322,1.4403163437933213e+51,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,90.61461183933385,952.0,GasA,Gd,Y,FuseF,6.960585191920063,900.176152309468,0.0,9.076349541331473,0.0,0.0,2,0.0,2,1.2485384754774442,TA,2.31578940582546,Min1,1.6881471699168629,TA,Detchd,4.336658023440158e+56,Unf,2.0,468.0,Fa,TA,Y,25.763630407077144,0.0,14.350738221200128,0.0,0.0,0.0,0.0,4,2008,WD,Abnorml
190,RL,15.89447150077168,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,4.680717059976833,1.538345981047249e+51,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,181.7739620712895,Unf,0.0,28.73532301847552,991.0,GasA,Ex,Y,SBrkr,7.013410299267926,0.0,0.0,8.359907070060592,0.993262988983687,0.0,1,0.0,2,1.2485384754774442,TA,1.8700913302730977,Typ,1.6881471699168629,TA,Attchd,4.664093047092292e+56,RFn,1.0,205.0,Gd,TA,Y,0.0,2.373135176944897,0.0,0.0,0.0,0.0,0.0,1,2008,WD,Normal
